n_robots,rep,robot_id,tick,vl,vr,error,collision,boundary,transporting,home,force,delivered,state,x,y
1,0,fb0,2280,15.0,5.16,0,0,0,0,0,0,2,APPROACH,-0.15,-0.87
1,0,fb0,2290,15.0,15.0,0,0,0,0,0,1,2,TRANSPORT,-0.13,-0.97
1,0,fb0,2300,15.0,5.4,0,0,0,1,0,1,2,TRANSPORT,-0.17,-1.04
1,0,fb0,2310,15.0,9.39,0,0,0,1,0,1,2,TRANSPORT,-0.27,-1.08
1,0,fb0,2320,15.0,3.94,0,0,0,1,0,1,2,TRANSPORT,-0.39,-1.07
1,0,fb0,2330,15.0,7.68,0,0,0,1,0,0,2,TRANSPORT,-0.45,-1.01
1,0,fb0,2340,10.88,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.49,-0.88
1,0,fb0,2350,-0.52,15.0,0,0,0,0,0,0,2,APPROACH,-0.53,-0.83
1,0,fb0,2360,4.63,15.0,0,0,0,0,0,0,2,APPROACH,-0.61,-0.86
1,0,fb0,2370,7.24,15.0,0,0,0,0,0,0,2,APPROACH,-0.66,-0.95
1,0,fb0,2380,15.0,3.6,0,0,0,1,0,0,2,TRANSPORT,-0.69,-1.02
1,0,fb0,2390,15.0,9.11,0,0,0,1,0,0,2,TRANSPORT,-0.79,-1.05
1,0,fb0,2400,-3.93,15.0,0,0,0,0,0,0,2,APPROACH,-0.87,-1.06
1,0,fb0,2410,3.03,15.0,0,0,0,0,0,0,2,APPROACH,-0.87,-1.13
1,0,fb0,2420,6.57,15.0,0,0,0,0,0,0,2,APPROACH,-0.81,-1.2
1,0,fb0,2430,-0.65,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.71,-1.22
1,0,fb0,2440,3.89,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.65,-1.16
1,0,fb0,2450,4.78,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.65,-1.07
1,0,fb0,2460,14.14,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.74,-0.98
1,0,fb0,2470,15.0,-2.58,0,0,0,0,0,0,2,APPROACH,-0.8,-0.92
1,0,fb0,2480,15.0,3.67,0,0,0,0,0,0,2,APPROACH,-0.76,-0.86
1,0,fb0,2490,15.0,6.86,0,0,0,0,0,0,2,APPROACH,-0.66,-0.84
1,0,fb0,2500,-0.29,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.58,-0.86
1,0,fb0,2510,5.66,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.51,-0.8
1,0,fb0,2520,15.0,-8.43,0,0,0,0,0,0,2,APPROACH,-0.48,-0.73
1,0,fb0,2530,15.0,0.89,0,0,0,0,0,0,2,APPROACH,-0.43,-0.72
1,0,fb0,2540,15.0,5.39,0,0,0,0,0,0,2,APPROACH,-0.37,-0.78
1,0,fb0,2550,15.0,-4.89,0,0,0,1,0,1,2,TRANSPORT,-0.37,-0.89
1,0,fb0,2560,15.0,6.43,0,0,0,1,0,1,2,TRANSPORT,-0.43,-0.95
1,0,fb0,2570,15.0,9.92,0,0,0,1,0,1,2,TRANSPORT,-0.54,-0.98
1,0,fb0,2580,15.0,11.93,0,0,0,1,0,1,2,TRANSPORT,-0.66,-0.95
1,0,fb0,2590,15.0,13.12,0,0,0,1,0,1,2,TRANSPORT,-0.79,-0.9
1,0,fb0,2600,15.0,3.78,0,0,0,1,0,0,2,TRANSPORT,-0.89,-0.82
1,0,fb0,2610,15.0,9.28,0,0,0,1,0,0,2,TRANSPORT,-0.92,-0.74
1,0,fb0,2620,15.0,2.7,0,0,0,0,0,0,2,SEARCH,-0.91,-0.61
1,0,fb0,2630,0.52,15.0,0,0,0,0,0,0,2,APPROACH,-0.93,-0.56
1,0,fb0,2640,5.08,15.0,0,0,0,0,0,0,2,APPROACH,-1.02,-0.56
1,0,fb0,2650,15.0,-0.53,0,0,0,1,0,0,2,TRANSPORT,-1.1,-0.63
1,0,fb0,2660,15.0,7.21,0,0,0,1,0,0,2,TRANSPORT,-1.18,-0.66
1,0,fb0,2670,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.29,-0.64
1,0,fb0,2680,-1.04,15.0,0,0,0,0,0,0,2,APPROACH,-1.34,-0.64
1,0,fb0,2690,4.48,15.0,0,0,0,0,0,0,2,APPROACH,-1.36,-0.72
1,0,fb0,2700,7.36,15.0,0,0,0,0,0,0,2,APPROACH,-1.3,-0.81
1,0,fb0,2710,0.48,15.0,0,0,0,1,0,1,2,TRANSPORT,-1.22,-0.83
1,0,fb0,2720,1.22,15.0,0,0,0,1,0,0,2,TRANSPORT,-1.16,-0.78
1,0,fb0,2730,10.29,15.0,0,0,0,1,0,0,2,TRANSPORT,-1.17,-0.68
1,0,fb0,2740,15.0,-7.43,0,0,0,0,0,0,2,APPROACH,-1.23,-0.59
1,0,fb0,2750,15.0,1.33,0,0,0,0,0,0,2,APPROACH,-1.2,-0.54
1,0,fb0,2760,15.0,5.6,0,0,0,0,0,0,2,APPROACH,-1.12,-0.52
1,0,fb0,2770,-5.17,15.0,0,0,0,1,0,0,2,TRANSPORT,-1.03,-0.57
1,0,fb0,2780,4.51,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.95,-0.57
